# decoded solutions
Answer 1: x1=1, x2=3, x3=2
Answer 4459: x1=1, x2=3, x3=2
Answer 4460: x1=3, x2=1, x3=2
Answer 4461: x1=1, x2=3, x3=2
Answer 4462: x1=1, x2=3, x3=2
Answer 4463: x1=3, x2=1, x3=2
Answer 4464: x1=3, x2=1, x3=2
Answer 4465: x1=1, x2=3, x3=2
Answer 4466: x1=3, x2=1, x3=2
Answer 4467: x1=1, x2=3, x3=2
Answer 4468: x1=3, x2=1, x3=2
Answer 4469: x1=1, x2=3, x3=2
Answer 4470: x1=1, x2=3, x3=2
Answer 4471: x1=3, x2=1, x3=2
Answer 4472: x1=3, x2=1, x3=2
Answer 4473: x1=1, x2=3, x3=2
Answer 4474: x1=3, x2=1, x3=2
Answer 4475: x1=1, x2=3, x3=2
Answer 4476: x1=3, x2=1, x3=2
Answer 4477: x1=1, x2=3, x3=2
Answer 4478: x1=1, x2=3, x3=2
Answer 4479: x1=3, x2=1, x3=2
Answer 4480: x1=3, x2=1, x3=2
Answer 4481: x1=1, x2=3, x3=2
Answer 4482: x1=3, x2=1, x3=2
Answer 4483: x1=1, x2=3, x3=2
Answer 4484: x1=3, x2=1, x3=2
Answer 4485: x1=1, x2=3, x3=2
Answer 4486: x1=1, x2=3, x3=2
Answer 4487: x1=3, x2=1, x3=2
Answer 4488: x1=3, x2=1, x3=2
Answer 4489: x1=1, x2=3, x3=2
Answer 4490: x1=3, x2=1, x3=2
Answer 4491: x1=1, x2=3, x3=2
Answer 4492: x1=3, x2=1, x3=2
Answer 4493: x1=1, x2=3, x3=2
Answer 4494: x1=1, x2=3, x3=2
Answer 4495: x1=3, x2=1, x3=2
Answer 4496: x1=3, x2=1, x3=2
Answer 4497: x1=1, x2=3, x3=2
Answer 4498: x1=3, x2=1, x3=2
Answer 4499: x1=1, x2=3, x3=2
Answer 4500: x1=3, x2=1, x3=2
Answer 4501: x1=1, x2=3, x3=2
Answer 4502: x1=1, x2=3, x3=2
Answer 4503: x1=3, x2=1, x3=2
Answer 4504: x1=3, x2=1, x3=2
Answer 4505: x1=1, x2=3, x3=2
Answer 4506: x1=3, x2=1, x3=2
Answer 4507: x1=1, x2=3, x3=2
Answer 4508: x1=3, x2=1, x3=2
Answer 4509: x1=1, x2=3, x3=2
Answer 4510: x1=1, x2=3, x3=2
Answer 4511: x1=3, x2=1, x3=2
Answer 4512: x1=3, x2=1, x3=2
Answer 4513: x1=1, x2=3, x3=2
Answer 4514: x1=3, x2=1, x3=2
Answer 4515: x1=1, x2=3, x3=2
Answer 4516: x1=3, x2=1, x3=2
Answer 4517: x1=1, x2=3, x3=2
Answer 4518: x1=1, x2=3, x3=2
Answer 4519: x1=3, x2=1, x3=2
Answer 4520: x1=3, x2=1, x3=2
Answer 4521: x1=1, x2=3, x3=2
Answer 4522: x1=3, x2=1, x3=2
Answer 4523: x1=1, x2=3, x3=2
Answer 4524: x1=3, x2=1, x3=2
Answer 4525: x1=1, x2=3, x3=2
Answer 4526: x1=1, x2=3, x3=2
Answer 4527: x1=3, x2=1, x3=2
Answer 4528: x1=3, x2=1, x3=2
Answer 4529: x1=1, x2=3, x3=2
Answer 4530: x1=3, x2=1, x3=2
Answer 4531: x1=1, x2=3, x3=2
Answer 4532: x1=3, x2=1, x3=2
Answer 4533: x1=1, x2=3, x3=2
Answer 4534: x1=1, x2=3, x3=2
Answer 4535: x1=3, x2=1, x3=2
Answer 4536: x1=3, x2=1, x3=2
Answer 4537: x1=1, x2=3, x3=2
Answer 4538: x1=3, x2=1, x3=2
Answer 4539: x1=1, x2=3, x3=2
Answer 4540: x1=3, x2=1, x3=2
Answer 4541: x1=1, x2=3, x3=2
Answer 4542: x1=1, x2=3, x3=2
Answer 4543: x1=3, x2=1, x3=2
Answer 4544: x1=3, x2=1, x3=2
Answer 4545: x1=1, x2=3, x3=2
Answer 4546: x1=3, x2=1, x3=2
Answer 4547: x1=1, x2=3, x3=2
Answer 4548: x1=3, x2=1, x3=2
Answer 4549: x1=1, x2=3, x3=2
Answer 4550: x1=1, x2=3, x3=2
Answer 4551: x1=3, x2=1, x3=2
Answer 4552: x1=3, x2=1, x3=2
Answer 4553: x1=1, x2=3, x3=2
Answer 4554: x1=3, x2=1, x3=2
Answer 4555: x1=1, x2=3, x3=2
Answer 4556: x1=3, x2=1, x3=2
Answer 4557: x1=1, x2=3, x3=2
Answer 4558: x1=1, x2=3, x3=2
Answer 4559: x1=3, x2=1, x3=2
Answer 4560: x1=3, x2=1, x3=2
Answer 4561: x1=1, x2=3, x3=2
Answer 4562: x1=3, x2=1, x3=2
Answer 4563: x1=1, x2=3, x3=2
Answer 4564: x1=3, x2=1, x3=2
Answer 4565: x1=1, x2=3, x3=2
Answer 4566: x1=1, x2=3, x3=2
Answer 4567: x1=3, x2=1, x3=2
Answer 4568: x1=3, x2=1, x3=2
Answer 4569: x1=1, x2=3, x3=2
Answer 4570: x1=3, x2=1, x3=2
Answer 4571: x1=1, x2=3, x3=2
Answer 4572: x1=3, x2=1, x3=2
Answer 4573: x1=1, x2=3, x3=2
Answer 4574: x1=1, x2=3, x3=2
Answer 4575: x1=3, x2=1, x3=2
Answer 4576: x1=3, x2=1, x3=2
Answer 4577: x1=1, x2=3, x3=2
Answer 4578: x1=3, x2=1, x3=2
Answer 4579: x1=1, x2=3, x3=2
Answer 4580: x1=3, x2=1, x3=2
Answer 4581: x1=1, x2=3, x3=2
Answer 4582: x1=1, x2=3, x3=2
Answer 4583: x1=3, x2=1, x3=2
Answer 4584: x1=3, x2=1, x3=2
Answer 4585: x1=1, x2=3, x3=2
Answer 4586: x1=3, x2=1, x3=2
Answer 4587: x1=1, x2=3, x3=2
Answer 4588: x1=3, x2=1, x3=2
Answer 4589: x1=1, x2=3, x3=2
Answer 4590: x1=1, x2=3, x3=2
Answer 4591: x1=3, x2=1, x3=2
Answer 4592: x1=3, x2=1, x3=2
Answer 4593: x1=1, x2=3, x3=2
Answer 4594: x1=3, x2=1, x3=2
Answer 4595: x1=1, x2=3, x3=2
Answer 4596: x1=3, x2=1, x3=2
Answer 4597: x1=1, x2=3, x3=2
Answer 4598: x1=1, x2=3, x3=2
Answer 4599: x1=3, x2=1, x3=2
Answer 4600: x1=3, x2=1, x3=2
Answer 4601: x1=1, x2=3, x3=2
Answer 4602: x1=3, x2=1, x3=2
Answer 4603: x1=1, x2=3, x3=2
Answer 4604: x1=3, x2=1, x3=2
Answer 4605: x1=1, x2=3, x3=2
Answer 4606: x1=1, x2=3, x3=2
Answer 4607: x1=3, x2=1, x3=2
Answer 4608: x1=3, x2=1, x3=2
Answer 4609: x1=1, x2=3, x3=2
Answer 4610: x1=3, x2=1, x3=2
Answer 4611: x1=1, x2=3, x3=2
Answer 4612: x1=3, x2=1, x3=2
Answer 4613: x1=1, x2=3, x3=2
Answer 4614: x1=1, x2=3, x3=2
Answer 4615: x1=3, x2=1, x3=2
Answer 4616: x1=3, x2=1, x3=2
Answer 4617: x1=1, x2=3, x3=2
Answer 4618: x1=3, x2=1, x3=2
Answer 4619: x1=1, x2=3, x3=2
Answer 4620: x1=3, x2=1, x3=2
Answer 4621: x1=1, x2=3, x3=2
Answer 4622: x1=1, x2=3, x3=2
Answer 4623: x1=3, x2=1, x3=2
Answer 4624: x1=3, x2=1, x3=2
Answer 4625: x1=1, x2=3, x3=2
Answer 4626: x1=3, x2=1, x3=2
Answer 4627: x1=1, x2=3, x3=2
Answer 4628: x1=3, x2=1, x3=2
Answer 4629: x1=1, x2=3, x3=2
Answer 4630: x1=1, x2=3, x3=2
Answer 4631: x1=3, x2=1, x3=2
Answer 4632: x1=3, x2=1, x3=2
Answer 4633: x1=1, x2=3, x3=2
Answer 4634: x1=3, x2=1, x3=2
Answer 4635: x1=1, x2=3, x3=2
Answer 4636: x1=3, x2=1, x3=2
Answer 4637: x1=1, x2=3, x3=2
Answer 4638: x1=1, x2=3, x3=2
Answer 4639: x1=3, x2=1, x3=2
Answer 4640: x1=3, x2=1, x3=2
Answer 4641: x1=1, x2=3, x3=2
Answer 4642: x1=3, x2=1, x3=2
Answer 4643: x1=1, x2=3, x3=2
Answer 4644: x1=3, x2=1, x3=2
Answer 4645: x1=1, x2=3, x3=2
Answer 4646: x1=1, x2=3, x3=2
Answer 4647: x1=3, x2=1, x3=2
Answer 4648: x1=3, x2=1, x3=2
Answer 4649: x1=1, x2=3, x3=2
Answer 4650: x1=3, x2=1, x3=2
Answer 4651: x1=1, x2=3, x3=2
Answer 4652: x1=3, x2=1, x3=2
Answer 4653: x1=1, x2=3, x3=2
Answer 4654: x1=1, x2=3, x3=2
Answer 4655: x1=3, x2=1, x3=2
Answer 4656: x1=3, x2=1, x3=2
Answer 4657: x1=1, x2=3, x3=2
Answer 4658: x1=3, x2=1, x3=2
Answer 4659: x1=1, x2=3, x3=2
Answer 4660: x1=3, x2=1, x3=2
Answer 4661: x1=1, x2=3, x3=2
Answer 4662: x1=1, x2=3, x3=2
Answer 4663: x1=3, x2=1, x3=2
Answer 4664: x1=3, x2=1, x3=2
Answer 4665: x1=1, x2=3, x3=2
Answer 4666: x1=3, x2=1, x3=2
Answer 4667: x1=1, x2=3, x3=2
Answer 4668: x1=3, x2=1, x3=2
Answer 4669: x1=1, x2=3, x3=2
Answer 4670: x1=1, x2=3, x3=2
Answer 4671: x1=3, x2=1, x3=2
Answer 4672: x1=3, x2=1, x3=2
Answer 4673: x1=1, x2=3, x3=2
Answer 4674: x1=3, x2=1, x3=2
Answer 4675: x1=1, x2=3, x3=2
Answer 4676: x1=3, x2=1, x3=2
Answer 4677: x1=1, x2=3, x3=2
Answer 4678: x1=1, x2=3, x3=2
Answer 4679: x1=3, x2=1, x3=2
Answer 4680: x1=3, x2=1, x3=2
Answer 4681: x1=1, x2=3, x3=2
Answer 4682: x1=3, x2=1, x3=2
Answer 4683: x1=1, x2=3, x3=2
Answer 4684: x1=3, x2=1, x3=2
Answer 4685: x1=1, x2=3, x3=2
Answer 4686: x1=1, x2=3, x3=2
Answer 4687: x1=3, x2=1, x3=2
Answer 4688: x1=3, x2=1, x3=2
Answer 4689: x1=1, x2=3, x3=2
Answer 4690: x1=3, x2=1, x3=2
Answer 4691: x1=1, x2=3, x3=2
Answer 4692: x1=3, x2=1, x3=2
Answer 4693: x1=1, x2=3, x3=2
Answer 4694: x1=1, x2=3, x3=2
Answer 4695: x1=3, x2=1, x3=2
Answer 4696: x1=3, x2=1, x3=2
Answer 4697: x1=1, x2=3, x3=2
Answer 4698: x1=3, x2=1, x3=2
Answer 4699: x1=1, x2=3, x3=2
Answer 4700: x1=3, x2=1, x3=2
Answer 4701: x1=1, x2=3, x3=2
Answer 4702: x1=1, x2=3, x3=2
Answer 4703: x1=3, x2=1, x3=2
Answer 4704: x1=3, x2=1, x3=2
Answer 4705: x1=1, x2=3, x3=2
Answer 4706: x1=3, x2=1, x3=2
Answer 4707: x1=1, x2=3, x3=2
Answer 4708: x1=3, x2=1, x3=2
Answer 4709: x1=1, x2=3, x3=2
Answer 4710: x1=1, x2=3, x3=2
Answer 4711: x1=3, x2=1, x3=2
Answer 4712: x1=3, x2=1, x3=2
Answer 4713: x1=1, x2=3, x3=2
Answer 4714: x1=3, x2=1, x3=2
Answer 4715: x1=1, x2=3, x3=2
Answer 4716: x1=3, x2=1, x3=2
Answer 4717: x1=1, x2=3, x3=2
Answer 4718: x1=1, x2=3, x3=2
Answer 4719: x1=3, x2=1, x3=2
Answer 4720: x1=3, x2=1, x3=2
Answer 4721: x1=1, x2=3, x3=2
Answer 4722: x1=3, x2=1, x3=2
Answer 4723: x1=1, x2=3, x3=2
Answer 4724: x1=3, x2=1, x3=2
Answer 4725: x1=1, x2=3, x3=2
Answer 4726: x1=1, x2=3, x3=2
Answer 4727: x1=3, x2=1, x3=2
Answer 4728: x1=3, x2=1, x3=2
Answer 4729: x1=1, x2=3, x3=2
Answer 4730: x1=3, x2=1, x3=2
Answer 4731: x1=1, x2=3, x3=2
Answer 4732: x1=3, x2=1, x3=2
Answer 4733: x1=1, x2=3, x3=2
Answer 4734: x1=1, x2=3, x3=2
Answer 4735: x1=3, x2=1, x3=2
Answer 4736: x1=3, x2=1, x3=2
Answer 4737: x1=1, x2=3, x3=2
Answer 4738: x1=3, x2=1, x3=2
Answer 4739: x1=1, x2=3, x3=2
Answer 4740: x1=3, x2=1, x3=2
Answer 4741: x1=1, x2=3, x3=2
Answer 4742: x1=1, x2=3, x3=2
Answer 4743: x1=3, x2=1, x3=2
Answer 4744: x1=3, x2=1, x3=2
Answer 4745: x1=1, x2=3, x3=2
Answer 4746: x1=3, x2=1, x3=2
Answer 4747: x1=1, x2=3, x3=2
Answer 4748: x1=3, x2=1, x3=2
Answer 4749: x1=1, x2=3, x3=2
Answer 4750: x1=1, x2=3, x3=2
Answer 4751: x1=3, x2=1, x3=2
Answer 4752: x1=3, x2=1, x3=2
Answer 4753: x1=1, x2=3, x3=2
Answer 4754: x1=3, x2=1, x3=2
Answer 4755: x1=1, x2=3, x3=2
Answer 4756: x1=3, x2=1, x3=2
Answer 4757: x1=1, x2=3, x3=2
Answer 4758: x1=1, x2=3, x3=2
Answer 4759: x1=3, x2=1, x3=2
Answer 4760: x1=3, x2=1, x3=2
Answer 4761: x1=1, x2=3, x3=2
Answer 4762: x1=3, x2=1, x3=2
Answer 4763: x1=1, x2=3, x3=2
Answer 4764: x1=3, x2=1, x3=2
Answer 4765: x1=1, x2=3, x3=2
Answer 4766: x1=1, x2=3, x3=2
Answer 4767: x1=3, x2=1, x3=2
Answer 4768: x1=3, x2=1, x3=2
Answer 4769: x1=1, x2=3, x3=2
Answer 4770: x1=3, x2=1, x3=2
Answer 4771: x1=1, x2=3, x3=2
Answer 4772: x1=3, x2=1, x3=2
Answer 4773: x1=1, x2=3, x3=2
Answer 4774: x1=1, x2=3, x3=2
Answer 4775: x1=3, x2=1, x3=2
Answer 4776: x1=3, x2=1, x3=2
Answer 4777: x1=1, x2=3, x3=2
Answer 4778: x1=3, x2=1, x3=2
Answer 4779: x1=1, x2=3, x3=2
Answer 4780: x1=3, x2=1, x3=2
Answer 4781: x1=1, x2=3, x3=2
Answer 4782: x1=1, x2=3, x3=2
Answer 4783: x1=3, x2=1, x3=2
Answer 4784: x1=3, x2=1, x3=2
Answer 4785: x1=1, x2=3, x3=2
Answer 4786: x1=3, x2=1, x3=2
Answer 4787: x1=1, x2=3, x3=2
Answer 4788: x1=3, x2=1, x3=2
Answer 4789: x1=1, x2=3, x3=2
Answer 4790: x1=1, x2=3, x3=2
Answer 4791: x1=3, x2=1, x3=2
Answer 4792: x1=3, x2=1, x3=2
Answer 4793: x1=1, x2=3, x3=2
Answer 4794: x1=3, x2=1, x3=2
Answer 4795: x1=1, x2=3, x3=2
Answer 4796: x1=3, x2=1, x3=2
Answer 4797: x1=1, x2=3, x3=2
Answer 4798: x1=1, x2=3, x3=2
Answer 4799: x1=3, x2=1, x3=2
Answer 4800: x1=3, x2=1, x3=2
Answer 4801: x1=1, x2=3, x3=2
Answer 4802: x1=3, x2=1, x3=2
Answer 4803: x1=1, x2=3, x3=2
Answer 4804: x1=3, x2=1, x3=2
Answer 4805: x1=1, x2=3, x3=2
Answer 4806: x1=1, x2=3, x3=2
Answer 4807: x1=3, x2=1, x3=2
Answer 4808: x1=3, x2=1, x3=2
Answer 4809: x1=1, x2=3, x3=2
Answer 4810: x1=3, x2=1, x3=2
Answer 4811: x1=1, x2=3, x3=2
Answer 4812: x1=3, x2=1, x3=2
Answer 4813: x1=1, x2=3, x3=2
Answer 4814: x1=1, x2=3, x3=2
Answer 4815: x1=3, x2=1, x3=2
Answer 4816: x1=3, x2=1, x3=2
Answer 4817: x1=1, x2=3, x3=2
Answer 4818: x1=3, x2=1, x3=2
Answer 4819: x1=1, x2=3, x3=2
Answer 4820: x1=3, x2=1, x3=2
Answer 4821: x1=1, x2=3, x3=2
Answer 4822: x1=1, x2=3, x3=2
Answer 4823: x1=3, x2=1, x3=2
Answer 4824: x1=3, x2=1, x3=2
Answer 4825: x1=1, x2=3, x3=2
Answer 4826: x1=3, x2=1, x3=2
Answer 4827: x1=1, x2=3, x3=2
Answer 4828: x1=3, x2=1, x3=2
Answer 4829: x1=1, x2=3, x3=2
Answer 4830: x1=1, x2=3, x3=2
Answer 4831: x1=3, x2=1, x3=2
Answer 4832: x1=3, x2=1, x3=2
Answer 4833: x1=1, x2=3, x3=2
Answer 4834: x1=3, x2=1, x3=2
Answer 4835: x1=1, x2=3, x3=2
Answer 4836: x1=3, x2=1, x3=2
Answer 4837: x1=1, x2=3, x3=2
Answer 4838: x1=1, x2=3, x3=2
Answer 4839: x1=3, x2=1, x3=2
Answer 4840: x1=3, x2=1, x3=2
Answer 4841: x1=1, x2=3, x3=2
Answer 4842: x1=3, x2=1, x3=2
Answer 4843: x1=1, x2=3, x3=2
Answer 4844: x1=3, x2=1, x3=2
Answer 4845: x1=1, x2=3, x3=2
Answer 4846: x1=1, x2=3, x3=2
Answer 4847: x1=3, x2=1, x3=2
Answer 4848: x1=3, x2=1, x3=2
Answer 4849: x1=1, x2=3, x3=2
Answer 4850: x1=3, x2=1, x3=2
Answer 4851: x1=1, x2=3, x3=2
Answer 4852: x1=3, x2=1, x3=2
Answer 4853: x1=1, x2=3, x3=2
Answer 4854: x1=1, x2=3, x3=2
Answer 4855: x1=3, x2=1, x3=2
Answer 4856: x1=3, x2=1, x3=2
Answer 4857: x1=1, x2=3, x3=2
Answer 4858: x1=3, x2=1, x3=2
Answer 4859: x1=1, x2=3, x3=2
Answer 4860: x1=3, x2=1, x3=2
Answer 4861: x1=1, x2=3, x3=2
Answer 4862: x1=1, x2=3, x3=2
Answer 4863: x1=3, x2=1, x3=2
Answer 4864: x1=3, x2=1, x3=2
Answer 4865: x1=1, x2=3, x3=2
Answer 4866: x1=3, x2=1, x3=2
Answer 4867: x1=1, x2=3, x3=2
Answer 4868: x1=3, x2=1, x3=2
Answer 4869: x1=1, x2=3, x3=2
Answer 4870: x1=1, x2=3, x3=2
Answer 4871: x1=3, x2=1, x3=2
Answer 4872: x1=3, x2=1, x3=2
Answer 4873: x1=1, x2=3, x3=2
Answer 4874: x1=3, x2=1, x3=2
Answer 4875: x1=1, x2=3, x3=2
Answer 4876: x1=3, x2=1, x3=2
Answer 4877: x1=1, x2=3, x3=2
Answer 4878: x1=1, x2=3, x3=2
Answer 4879: x1=3, x2=1, x3=2
Answer 4880: x1=3, x2=1, x3=2
Answer 4881: x1=1, x2=3, x3=2
Answer 4882: x1=3, x2=1, x3=2
Answer 4883: x1=1, x2=3, x3=2
Answer 4884: x1=3, x2=1, x3=2
Answer 4885: x1=1, x2=3, x3=2
Answer 4886: x1=1, x2=3, x3=2
Answer 4887: x1=3, x2=1, x3=2
Answer 4888: x1=3, x2=1, x3=2
Answer 4889: x1=1, x2=3, x3=2
Answer 4890: x1=3, x2=1, x3=2
Answer 4891: x1=1, x2=3, x3=2
Answer 4892: x1=3, x2=1, x3=2
Answer 4893: x1=1, x2=3, x3=2
Answer 4894: x1=1, x2=3, x3=2
Answer 4895: x1=3, x2=1, x3=2
Answer 4896: x1=3, x2=1, x3=2
Answer 4897: x1=1, x2=3, x3=2
Answer 4898: x1=3, x2=1, x3=2
Answer 4899: x1=1, x2=3, x3=2
Answer 4900: x1=3, x2=1, x3=2
Answer 4901: x1=1, x2=3, x3=2
Answer 4902: x1=1, x2=3, x3=2
Answer 4903: x1=3, x2=1, x3=2
Answer 4904: x1=3, x2=1, x3=2
Answer 4905: x1=1, x2=3, x3=2
Answer 4906: x1=3, x2=1, x3=2
Answer 4907: x1=1, x2=3, x3=2
Answer 4908: x1=3, x2=1, x3=2
Answer 4909: x1=1, x2=3, x3=2
Answer 4910: x1=1, x2=3, x3=2
Answer 4911: x1=3, x2=1, x3=2
Answer 4912: x1=3, x2=1, x3=2
Answer 4913: x1=1, x2=3, x3=2
Answer 4914: x1=3, x2=1, x3=2
Answer 4915: x1=1, x2=3, x3=2
Answer 4916: x1=3, x2=1, x3=2
Answer 4917: x1=1, x2=3, x3=2
Answer 4918: x1=1, x2=3, x3=2
Answer 4919: x1=3, x2=1, x3=2
Answer 4920: x1=3, x2=1, x3=2
Answer 4921: x1=1, x2=3, x3=2
Answer 4922: x1=3, x2=1, x3=2
Answer 4923: x1=1, x2=3, x3=2
Answer 4924: x1=3, x2=1, x3=2
Answer 4925: x1=1, x2=3, x3=2
Answer 4926: x1=1, x2=3, x3=2
Answer 4927: x1=3, x2=1, x3=2
Answer 4928: x1=3, x2=1, x3=2
Answer 4929: x1=1, x2=3, x3=2
Answer 4930: x1=3, x2=1, x3=2
Answer 4931: x1=1, x2=3, x3=2
Answer 4932: x1=3, x2=1, x3=2
Answer 4933: x1=1, x2=3, x3=2
Answer 4934: x1=1, x2=3, x3=2
Answer 4935: x1=3, x2=1, x3=2
Answer 4936: x1=3, x2=1, x3=2
Answer 4937: x1=1, x2=3, x3=2
Answer 4938: x1=3, x2=1, x3=2
Answer 4939: x1=1, x2=3, x3=2
Answer 4940: x1=3, x2=1, x3=2
Answer 4941: x1=1, x2=3, x3=2
Answer 4942: x1=1, x2=3, x3=2
Answer 4943: x1=3, x2=1, x3=2
Answer 4944: x1=3, x2=1, x3=2
Answer 4945: x1=1, x2=3, x3=2
Answer 4946: x1=3, x2=1, x3=2
Answer 4947: x1=1, x2=3, x3=2
Answer 4948: x1=3, x2=1, x3=2
Answer 4949: x1=1, x2=3, x3=2
Answer 4950: x1=1, x2=3, x3=2
Answer 4951: x1=3, x2=1, x3=2
Answer 4952: x1=3, x2=1, x3=2
Answer 4953: x1=1, x2=3, x3=2
Answer 4954: x1=3, x2=1, x3=2
Answer 4955: x1=1, x2=3, x3=2
Answer 4956: x1=3, x2=1, x3=2
Answer 4957: x1=1, x2=3, x3=2
Answer 4958: x1=1, x2=3, x3=2
Answer 4959: x1=3, x2=1, x3=2
Answer 4960: x1=3, x2=1, x3=2
Answer 4961: x1=1, x2=3, x3=2
Answer 4962: x1=3, x2=1, x3=2
Answer 4963: x1=1, x2=3, x3=2
Answer 4964: x1=3, x2=1, x3=2
Answer 4965: x1=1, x2=3, x3=2
Answer 4966: x1=1, x2=3, x3=2
Answer 4967: x1=3, x2=1, x3=2
Answer 4968: x1=3, x2=1, x3=2
Answer 4969: x1=1, x2=3, x3=2
Answer 4970: x1=3, x2=1, x3=2
Answer 4971: x1=1, x2=3, x3=2
Answer 4972: x1=3, x2=1, x3=2
Answer 4973: x1=1, x2=3, x3=2
Answer 4974: x1=1, x2=3, x3=2
Answer 4975: x1=3, x2=1, x3=2
Answer 4976: x1=3, x2=1, x3=2
Answer 4977: x1=1, x2=3, x3=2
Answer 4978: x1=3, x2=1, x3=2
Answer 4979: x1=1, x2=3, x3=2
Answer 4980: x1=3, x2=1, x3=2
Answer 4981: x1=1, x2=3, x3=2
Answer 4982: x1=1, x2=3, x3=2
Answer 4983: x1=3, x2=1, x3=2
Answer 4984: x1=3, x2=1, x3=2
Answer 4985: x1=1, x2=3, x3=2
Answer 4986: x1=3, x2=1, x3=2
Answer 4987: x1=1, x2=3, x3=2
Answer 4988: x1=3, x2=1, x3=2
Answer 4989: x1=1, x2=3, x3=2
Answer 4990: x1=1, x2=3, x3=2
Answer 4991: x1=3, x2=1, x3=2
Answer 4992: x1=3, x2=1, x3=2
Answer 4993: x1=1, x2=3, x3=2
Answer 4994: x1=3, x2=1, x3=2
Answer 4995: x1=1, x2=3, x3=2
Answer 4996: x1=3, x2=1, x3=2
Answer 4997: x1=1, x2=3, x3=2
Answer 4998: x1=1, x2=3, x3=2
Answer 4999: x1=3, x2=1, x3=2
Answer 5000: x1=3, x2=1, x3=2
Answer 5001: x1=1, x2=3, x3=2
Answer 5002: x1=3, x2=1, x3=2
Answer 5003: x1=1, x2=3, x3=2
Answer 5004: x1=3, x2=1, x3=2
Answer 5005: x1=1, x2=3, x3=2
Answer 5006: x1=1, x2=3, x3=2
Answer 5007: x1=3, x2=1, x3=2
Answer 5008: x1=3, x2=1, x3=2
Answer 5009: x1=1, x2=3, x3=2
Answer 5010: x1=3, x2=1, x3=2
Answer 5011: x1=1, x2=3, x3=2
Answer 5012: x1=3, x2=1, x3=2
Answer 5013: x1=1, x2=3, x3=2
Answer 5014: x1=1, x2=3, x3=2
Answer 5015: x1=3, x2=1, x3=2
Answer 5016: x1=3, x2=1, x3=2
Answer 5017: x1=1, x2=3, x3=2
Answer 5018: x1=3, x2=1, x3=2
Answer 5019: x1=1, x2=3, x3=2
Answer 5020: x1=3, x2=1, x3=2
Answer 5021: x1=1, x2=3, x3=2
Answer 5022: x1=1, x2=3, x3=2
Answer 5023: x1=3, x2=1, x3=2
Answer 5024: x1=3, x2=1, x3=2
Answer 5025: x1=1, x2=3, x3=2
Answer 5026: x1=3, x2=1, x3=2
Answer 5027: x1=1, x2=3, x3=2
Answer 5028: x1=3, x2=1, x3=2
Answer 5029: x1=1, x2=3, x3=2
Answer 5030: x1=1, x2=3, x3=2
Answer 5031: x1=3, x2=1, x3=2
Answer 5032: x1=3, x2=1, x3=2
Answer 5033: x1=1, x2=3, x3=2
Answer 5034: x1=3, x2=1, x3=2
Answer 5035: x1=1, x2=3, x3=2
Answer 5036: x1=3, x2=1, x3=2
Answer 5037: x1=1, x2=3, x3=2
Answer 5038: x1=1, x2=3, x3=2
Answer 5039: x1=3, x2=1, x3=2
Answer 5040: x1=3, x2=1, x3=2
Answer 5041: x1=1, x2=3, x3=2
Answer 5042: x1=3, x2=1, x3=2
Answer 5043: x1=1, x2=3, x3=2
Answer 5044: x1=3, x2=1, x3=2
Answer 5045: x1=1, x2=3, x3=2
Answer 5046: x1=1, x2=3, x3=2
Answer 5047: x1=3, x2=1, x3=2
Answer 5048: x1=3, x2=1, x3=2
Answer 5049: x1=1, x2=3, x3=2
Answer 5050: x1=3, x2=1, x3=2
Answer 5051: x1=1, x2=3, x3=2
Answer 5052: x1=3, x2=1, x3=2
Answer 5053: x1=1, x2=3, x3=2
Answer 5054: x1=1, x2=3, x3=2
Answer 5055: x1=3, x2=1, x3=2
Answer 5056: x1=3, x2=1, x3=2
Answer 5057: x1=1, x2=3, x3=2
Answer 5058: x1=3, x2=1, x3=2
Answer 5059: x1=1, x2=3, x3=2
Answer 5060: x1=3, x2=1, x3=2
Answer 5061: x1=1, x2=3, x3=2
Answer 5062: x1=1, x2=3, x3=2
Answer 5063: x1=3, x2=1, x3=2
Answer 5064: x1=3, x2=1, x3=2
Answer 5065: x1=1, x2=3, x3=2
Answer 5066: x1=3, x2=1, x3=2
Answer 5067: x1=1, x2=3, x3=2
Answer 5068: x1=3, x2=1, x3=2
Answer 5069: x1=1, x2=3, x3=2
Answer 5070: x1=1, x2=3, x3=2
Answer 5071: x1=3, x2=1, x3=2
Answer 5072: x1=3, x2=1, x3=2
Answer 5073: x1=1, x2=3, x3=2
Answer 5074: x1=3, x2=1, x3=2
Answer 5075: x1=1, x2=3, x3=2
Answer 5076: x1=3, x2=1, x3=2
Answer 5077: x1=1, x2=3, x3=2
Answer 5078: x1=1, x2=3, x3=2
Answer 5079: x1=3, x2=1, x3=2
Answer 5080: x1=3, x2=1, x3=2
Answer 5081: x1=1, x2=3, x3=2
Answer 5082: x1=3, x2=1, x3=2
Answer 5083: x1=1, x2=3, x3=2
Answer 5084: x1=3, x2=1, x3=2
Answer 5085: x1=1, x2=3, x3=2
Answer 5086: x1=1, x2=3, x3=2
Answer 5087: x1=3, x2=1, x3=2
Answer 5088: x1=3, x2=1, x3=2
Answer 5089: x1=1, x2=3, x3=2
Answer 5090: x1=3, x2=1, x3=2
Answer 5091: x1=1, x2=3, x3=2
Answer 5092: x1=3, x2=1, x3=2
Answer 5093: x1=1, x2=3, x3=2
